unit_id,build_date,production_line,shift,test_station,firmware_version,heart_rate_error_bpm,response_time_seconds,signal_quality_score,test_status,defect_category,rework_required
WHRM-00044,2026-07-01,Line B,Day,TS-01,FW-SIM-0.2,3.22,3.73,92.4,Pass,None,No
WHRM-00045,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,3.89,3.79,86.8,Pass,None,No
WHRM-00046,2026-07-01,Line B,Day,TS-02,FW-SIM-0.2,5.79,4.41,98.8,Fail,High heart-rate error,Yes
WHRM-00047,2026-07-01,Line B,Evening,TS-01,FW-SIM-0.2,0.55,3.82,89.6,Pass,None,No
WHRM-00048,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,4.2,4.06,96.1,Pass,None,No
WHRM-00049,2026-07-01,Line B,Day,TS-01,FW-SIM-0.2,1.68,3.63,97.3,Pass,None,No
WHRM-00050,2026-07-01,Line B,Evening,TS-03,FW-SIM-0.2,2.66,4.96,82.0,Pass,None,No
WHRM-00051,2026-07-01,Line B,Day,TS-02,FW-SIM-0.2,4.52,3.75,92.9,Pass,None,No
WHRM-00052,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,0.95,4.3,88.9,Pass,None,No
WHRM-00053,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,1.4,4.63,92.6,Pass,None,No
WHRM-00054,2026-07-01,Line C,Day,TS-02,FW-SIM-0.2,2.59,3.75,88.4,Pass,None,No
WHRM-00055,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,2.04,4.28,86.9,Pass,None,No
WHRM-00056,2026-07-01,Line B,Evening,TS-01,FW-SIM-0.2,4.53,3.57,86.3,Pass,None,No
WHRM-00057,2026-07-01,Line C,Evening,TS-01,FW-SIM-0.2,1.32,2.96,87.8,Pass,None,No
WHRM-00058,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,0.83,4.15,87.8,Pass,None,No
WHRM-00059,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,3.59,4.19,89.7,Pass,None,No
WHRM-00060,2026-07-01,Line C,Day,TS-02,FW-SIM-0.2,2.38,4.35,95.7,Pass,None,No
WHRM-00061,2026-07-01,Line C,Day,TS-02,FW-SIM-0.2,2.21,3.46,93.8,Pass,None,No
WHRM-00062,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,3.08,4.61,95.5,Pass,None,No
WHRM-00063,2026-07-01,Line C,Day,TS-01,FW-SIM-0.2,3.52,4.03,93.2,Pass,None,No
WHRM-00064,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,1.53,4.45,90.1,Pass,None,No
WHRM-00065,2026-07-01,Line A,Evening,TS-03,FW-SIM-0.2,4.55,4.99,95.3,Pass,None,No
WHRM-00066,2026-07-01,Line C,Evening,TS-02,FW-SIM-0.2,3.03,4.12,92.0,Pass,None,No
WHRM-00067,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,2.22,4.57,92.5,Pass,None,No
WHRM-00068,2026-07-01,Line B,Evening,TS-01,FW-SIM-0.2,2.54,5.23,94.3,Fail,Slow response time,No
WHRM-00069,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,2.38,4.85,95.4,Pass,None,No
WHRM-00070,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,2.17,4.02,96.6,Pass,None,No
WHRM-00071,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,3.85,5.99,82.6,Fail,Slow response time,Yes
WHRM-00072,2026-07-01,Line A,Evening,TS-02,FW-SIM-0.2,4.46,3.54,100.0,Pass,None,No
WHRM-00073,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,4.14,3.9,95.5,Pass,None,No
WHRM-00074,2026-07-01,Line A,Evening,TS-02,FW-SIM-0.2,1.97,4.83,84.7,Pass,None,No
WHRM-00075,2026-07-01,Line C,Evening,TS-01,FW-SIM-0.2,2.42,5.38,91.2,Fail,Slow response time,Yes
WHRM-00076,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,0.55,4.76,86.1,Pass,None,No
WHRM-00077,2026-07-01,Line A,Day,TS-02,FW-SIM-0.2,2.95,4.46,84.8,Fail,Assembly defect,Yes
WHRM-00078,2026-07-01,Line C,Evening,TS-01,FW-SIM-0.2,0.1,3.39,80.9,Fail,Low signal quality,No
WHRM-00079,2026-07-01,Line C,Evening,TS-01,FW-SIM-0.2,0.67,4.6,79.7,Fail,Low signal quality,Yes
WHRM-00080,2026-07-01,Line B,Evening,TS-03,FW-SIM-0.2,2.46,4.47,81.6,Fail,Low signal quality,Yes
WHRM-00081,2026-07-01,Line A,Day,TS-03,FW-SIM-0.2,2.92,4.01,87.0,Pass,None,No
WHRM-00082,2026-07-01,Line A,Evening,TS-01,FW-SIM-0.2,1.85,4.32,95.9,Pass,None,No
WHRM-00083,2026-07-01,Line B,Day,TS-01,FW-SIM-0.2,2.58,3.5,84.7,Pass,None,No
WHRM-00084,2026-07-01,Line A,Day,TS-01,FW-SIM-0.2,1.73,3.07,100.0,Pass,None,No
WHRM-00085,2026-07-01,Line B,Evening,TS-02,FW-SIM-0.2,1.82,4.63,93.1,Pass,None,No
WHRM-00086,2026-07-01,Line B,Day,TS-02,FW-SIM-0.2,3.34,3.42,95.6,Pass,None,No
WHRM-00087,2026-07-01,Line B,Evening,TS-01,FW-SIM-0.2,5.24,4.36,87.8,Fail,High heart-rate error,Yes
WHRM-00088,2026-07-01,Line B,Day,TS-03,FW-SIM-0.2,1.74,6.09,82.9,Fail,Slow response time,Yes
WHRM-00089,2026-07-01,Line B,Day,TS-01,FW-SIM-0.2,4.28,4.85,90.4,Pass,None,No
WHRM-00090,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,3.8,4.32,93.0,Pass,None,No
WHRM-00091,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,1.0,3.56,89.1,Pass,None,No
WHRM-00092,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,1.28,2.79,95.8,Pass,None,No
WHRM-00093,2026-07-02,Line C,Evening,TS-03,FW-SIM-0.2,1.4,4.94,84.3,Pass,None,No
WHRM-00094,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,2.36,4.79,92.4,Pass,None,No
WHRM-00095,2026-07-02,Line A,Day,TS-03,FW-SIM-0.2,0.22,4.39,83.1,Pass,None,No
WHRM-00096,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,3.46,4.35,87.5,Pass,None,No
WHRM-00097,2026-07-02,Line A,Evening,TS-03,FW-SIM-0.2,3.64,3.93,88.4,Pass,None,No
WHRM-00098,2026-07-02,Line B,Evening,TS-02,FW-SIM-0.2,1.87,4.68,92.7,Pass,None,No
WHRM-00099,2026-07-02,Line C,Evening,TS-01,FW-SIM-0.2,3.49,5.19,83.7,Fail,Slow response time,Yes
WHRM-00100,2026-07-02,Line B,Evening,TS-02,FW-SIM-0.2,3.0,4.24,93.9,Pass,None,No
WHRM-00101,2026-07-02,Line A,Day,TS-03,FW-SIM-0.2,3.23,4.71,86.1,Pass,None,No
WHRM-00102,2026-07-02,Line C,Day,TS-01,FW-SIM-0.2,1.09,4.41,89.5,Pass,None,No
WHRM-00103,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,2.29,4.4,92.5,Pass,None,No
WHRM-00104,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,2.05,3.32,88.5,Pass,None,No
WHRM-00105,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,1.58,4.47,92.1,Pass,None,No
WHRM-00106,2026-07-02,Line B,Day,TS-02,FW-SIM-0.2,2.0,5.4,86.8,Fail,Slow response time,Yes
WHRM-00107,2026-07-02,Line C,Evening,TS-03,FW-SIM-0.2,3.21,3.88,93.4,Pass,None,No
WHRM-00108,2026-07-02,Line C,Day,TS-02,FW-SIM-0.2,2.7,3.95,95.1,Pass,None,No
WHRM-00109,2026-07-02,Line B,Evening,TS-01,FW-SIM-0.2,1.52,3.82,94.4,Pass,None,No
WHRM-00110,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,5.3,5.19,90.4,Fail,High heart-rate error,No
WHRM-00111,2026-07-02,Line C,Day,TS-03,FW-SIM-0.2,2.9,4.59,83.3,Pass,None,No
WHRM-00112,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,1.41,4.29,87.8,Pass,None,No
WHRM-00113,2026-07-02,Line C,Evening,TS-03,FW-SIM-0.2,2.5,4.59,89.5,Pass,None,No
WHRM-00114,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,0.45,4.55,87.0,Pass,None,No
WHRM-00115,2026-07-02,Line B,Day,TS-03,FW-SIM-0.2,5.13,4.41,86.7,Fail,High heart-rate error,Yes
WHRM-00116,2026-07-02,Line A,Evening,TS-02,FW-SIM-0.2,2.68,3.29,92.9,Pass,None,No
WHRM-00117,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,2.21,5.3,88.3,Fail,Slow response time,Yes
WHRM-00118,2026-07-02,Line A,Evening,TS-03,FW-SIM-0.2,0.86,4.97,96.1,Pass,None,No
WHRM-00119,2026-07-02,Line B,Evening,TS-01,FW-SIM-0.2,4.62,4.06,94.8,Pass,None,No
WHRM-00120,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,1.61,3.87,94.7,Pass,None,No
WHRM-00121,2026-07-02,Line C,Evening,TS-02,FW-SIM-0.2,1.35,4.9,92.2,Pass,None,No
WHRM-00122,2026-07-02,Line B,Day,TS-02,FW-SIM-0.2,2.52,3.57,87.5,Fail,Assembly defect,Yes
WHRM-00123,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,3.23,4.1,89.3,Pass,None,No
WHRM-00124,2026-07-02,Line B,Day,TS-02,FW-SIM-0.2,3.34,3.37,95.5,Pass,None,No
WHRM-00125,2026-07-02,Line A,Evening,TS-01,FW-SIM-0.2,2.31,4.11,94.5,Pass,None,No
WHRM-00126,2026-07-02,Line C,Day,TS-03,FW-SIM-0.2,3.21,4.08,85.2,Pass,None,No
WHRM-00127,2026-07-02,Line B,Evening,TS-03,FW-SIM-0.2,3.91,2.92,86.0,Pass,None,No
WHRM-00128,2026-07-02,Line C,Evening,TS-01,FW-SIM-0.2,3.61,3.86,94.3,Pass,None,No
WHRM-00129,2026-07-02,Line C,Evening,TS-03,FW-SIM-0.2,0.23,3.78,78.6,Fail,Low signal quality,No
WHRM-00130,2026-07-02,Line B,Evening,TS-01,FW-SIM-0.2,3.54,3.95,95.3,Pass,None,No
WHRM-00131,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,0.1,4.57,85.2,Pass,None,No
WHRM-00132,2026-07-02,Line A,Evening,TS-01,FW-SIM-0.2,1.84,4.69,98.8,Pass,None,No
WHRM-00133,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,0.97,3.08,100.0,Pass,None,No
WHRM-00134,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,1.37,5.0,100.0,Fail,Slow response time,Yes
WHRM-00135,2026-07-02,Line C,Evening,TS-02,FW-SIM-0.2,3.41,2.67,96.6,Pass,None,No
WHRM-00136,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,0.65,4.07,89.7,Pass,None,No
WHRM-00137,2026-07-02,Line C,Day,TS-01,FW-SIM-0.2,1.27,5.03,93.7,Fail,Slow response time,Yes
WHRM-00138,2026-07-02,Line C,Day,TS-03,FW-SIM-0.2,2.35,4.19,84.9,Pass,None,No
WHRM-00139,2026-07-02,Line C,Evening,TS-02,FW-SIM-0.2,0.89,4.26,91.1,Pass,None,No
WHRM-00140,2026-07-02,Line B,Day,TS-03,FW-SIM-0.2,3.71,4.63,88.1,Fail,Assembly defect,No
WHRM-00141,2026-07-02,Line C,Day,TS-01,FW-SIM-0.2,5.21,4.43,91.1,Fail,High heart-rate error,Yes
WHRM-00142,2026-07-02,Line C,Evening,TS-01,FW-SIM-0.2,4.34,5.37,93.3,Fail,Slow response time,No
WHRM-00143,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,3.85,4.33,94.4,Pass,None,No
WHRM-00144,2026-07-02,Line A,Day,TS-03,FW-SIM-0.2,2.83,4.57,84.8,Fail,Assembly defect,No
WHRM-00145,2026-07-02,Line C,Evening,TS-01,FW-SIM-0.2,5.8,3.43,86.4,Fail,High heart-rate error,Yes
WHRM-00146,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,1.0,3.81,89.8,Pass,None,No
WHRM-00147,2026-07-02,Line C,Day,TS-03,FW-SIM-0.2,3.2,2.55,82.2,Pass,None,No
WHRM-00148,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,5.39,3.39,89.3,Fail,High heart-rate error,No
WHRM-00149,2026-07-02,Line B,Evening,TS-02,FW-SIM-0.2,1.3,4.26,91.5,Pass,None,No
WHRM-00150,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,2.26,3.92,87.9,Pass,None,No
WHRM-00151,2026-07-02,Line C,Day,TS-01,FW-SIM-0.2,3.54,4.18,88.8,Pass,None,No
WHRM-00152,2026-07-02,Line A,Day,TS-02,FW-SIM-0.2,2.71,4.34,89.7,Pass,None,No
WHRM-00153,2026-07-02,Line B,Day,TS-02,FW-SIM-0.2,3.36,3.8,89.6,Fail,Assembly defect,No
WHRM-00154,2026-07-02,Line A,Day,TS-03,FW-SIM-0.2,2.34,3.96,91.6,Pass,None,No
WHRM-00155,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,4.41,4.5,84.3,Pass,None,No
WHRM-00156,2026-07-02,Line A,Evening,TS-03,FW-SIM-0.2,1.48,5.38,85.9,Fail,Slow response time,Yes
WHRM-00157,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,4.29,4.26,82.0,Fail,Low signal quality,No
WHRM-00158,2026-07-02,Line C,Evening,TS-03,FW-SIM-0.2,2.29,5.21,87.0,Fail,Slow response time,Yes
WHRM-00159,2026-07-02,Line A,Evening,TS-01,FW-SIM-0.2,2.6,4.41,96.2,Pass,None,No
WHRM-00160,2026-07-02,Line B,Evening,TS-03,FW-SIM-0.2,1.66,4.36,84.3,Pass,None,No
WHRM-00161,2026-07-02,Line C,Evening,TS-02,FW-SIM-0.2,1.8,3.49,93.0,Pass,None,No
WHRM-00162,2026-07-02,Line C,Day,TS-02,FW-SIM-0.2,0.1,4.02,79.2,Fail,Low signal quality,Yes
WHRM-00163,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,4.08,3.59,93.2,Pass,None,No
WHRM-00164,2026-07-02,Line C,Day,TS-01,FW-SIM-0.2,2.22,4.05,100.0,Pass,None,No
WHRM-00165,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,2.81,4.97,88.0,Pass,None,No
WHRM-00166,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,2.68,5.14,89.2,Fail,Slow response time,No
WHRM-00167,2026-07-02,Line C,Day,TS-01,FW-SIM-0.2,0.9,2.79,90.3,Pass,None,No
WHRM-00168,2026-07-02,Line C,Day,TS-03,FW-SIM-0.2,0.1,5.42,83.2,Fail,Slow response time,Yes
WHRM-00169,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,2.71,4.14,92.8,Pass,None,No
WHRM-00170,2026-07-02,Line C,Evening,TS-01,FW-SIM-0.2,1.78,4.28,83.7,Pass,None,No
WHRM-00171,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,4.15,4.3,95.0,Pass,None,No
WHRM-00172,2026-07-02,Line C,Day,TS-01,FW-SIM-0.2,3.28,4.39,93.7,Pass,None,No
WHRM-00173,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,2.72,4.21,88.4,Pass,None,No
WHRM-00174,2026-07-02,Line C,Evening,TS-02,FW-SIM-0.2,0.87,3.9,94.2,Pass,None,No
WHRM-00175,2026-07-02,Line A,Evening,TS-02,FW-SIM-0.2,4.85,4.1,91.7,Pass,None,No
WHRM-00176,2026-07-02,Line B,Evening,TS-01,FW-SIM-0.2,3.17,3.52,97.6,Pass,None,No
WHRM-00177,2026-07-02,Line B,Day,TS-01,FW-SIM-0.2,4.79,3.87,93.8,Pass,None,No
WHRM-00178,2026-07-02,Line A,Day,TS-01,FW-SIM-0.2,1.76,3.62,100.0,Pass,None,No
WHRM-00179,2026-07-03,Line A,Day,TS-01,FW-SIM-0.2,1.38,5.15,86.2,Fail,Slow response time,Yes
WHRM-00180,2026-07-03,Line A,Day,TS-01,FW-SIM-0.2,0.1,3.51,96.4,Pass,None,No
WHRM-00181,2026-07-03,Line A,Evening,TS-01,FW-SIM-0.2,2.67,4.77,84.2,Pass,None,No
WHRM-00182,2026-07-03,Line A,Evening,TS-01,FW-SIM-0.2,4.25,3.93,92.5,Pass,None,No
WHRM-00183,2026-07-03,Line A,Evening,TS-03,FW-SIM-0.2,1.51,4.13,93.4,Pass,None,No
WHRM-00184,2026-07-03,Line C,Day,TS-01,FW-SIM-0.2,1.54,4.81,95.6,Pass,None,No
WHRM-00185,2026-07-03,Line A,Evening,TS-02,FW-SIM-0.2,4.07,4.91,100.0,Pass,None,No
WHRM-00186,2026-07-03,Line A,Day,TS-01,FW-SIM-0.2,0.4,4.88,89.7,Pass,None,No
WHRM-00187,2026-07-03,Line A,Day,TS-03,FW-SIM-0.2,4.51,4.54,98.2,Pass,None,No
WHRM-00188,2026-07-03,Line C,Day,TS-01,FW-SIM-0.2,4.3,4.37,88.4,Pass,None,No
WHRM-00189,2026-07-03,Line A,Day,TS-02,FW-SIM-0.2,2.93,4.12,95.7,Pass,None,No
WHRM-00190,2026-07-03,Line B,Day,TS-03,FW-SIM-0.2,2.98,3.98,96.7,Pass,None,No
WHRM-00191,2026-07-03,Line C,Day,TS-02,FW-SIM-0.2,4.91,4.4,87.2,Pass,None,No
WHRM-00192,2026-07-03,Line B,Day,TS-03,FW-SIM-0.2,2.99,5.88,83.3,Fail,Slow response time,Yes
WHRM-00193,2026-07-03,Line B,Evening,TS-02,FW-SIM-0.2,2.96,4.04,90.2,Pass,None,No
WHRM-00194,2026-07-03,Line B,Day,TS-03,FW-SIM-0.2,3.46,3.5,86.2,Pass,None,No
WHRM-00195,2026-07-03,Line A,Evening,TS-01,FW-SIM-0.2,3.66,4.3,89.5,Pass,None,No
WHRM-00196,2026-07-03,Line A,Evening,TS-02,FW-SIM-0.2,0.68,5.31,100.0,Fail,Slow response time,Yes
WHRM-00197,2026-07-03,Line A,Day,TS-02,FW-SIM-0.2,0.92,3.64,90.5,Pass,None,No
WHRM-00198,2026-07-03,Line B,Day,TS-01,FW-SIM-0.2,5.44,4.49,90.7,Fail,High heart-rate error,Yes
WHRM-00199,2026-07-03,Line B,Evening,TS-02,FW-SIM-0.2,3.13,4.52,92.1,Pass,None,No
WHRM-00200,2026-07-03,Line C,Day,TS-03,FW-SIM-0.2,3.05,4.59,92.7,Pass,None,No
WHRM-00201,2026-07-03,Line B,Day,TS-02,FW-SIM-0.2,1.98,3.1,92.4,Fail,Assembly defect,Yes
WHRM-00202,2026-07-03,Line B,Evening,TS-03,FW-SIM-0.2,2.84,4.7,100.0,Pass,None,No
WHRM-00203,2026-07-03,Line B,Day,TS-01,FW-SIM-0.2,1.69,4.24,95.4,Pass,None,No
WHRM-00204,2026-07-03,Line B,Evening,TS-03,FW-SIM-0.2,2.3,5.07,82.9,Fail,Slow response time,Yes
WHRM-00205,2026-07-03,Line B,Day,TS-02,FW-SIM-0.2,3.79,4.35,94.0,Pass,None,No
WHRM-00206,2026-07-03,Line A,Evening,TS-02,FW-SIM-0.2,1.32,3.55,98.1,Pass,None,No
WHRM-00207,2026-07-03,Line C,Day,TS-02,FW-SIM-0.2,3.12,4.45,80.6,Fail,Low signal quality,Yes
WHRM-00208,2026-07-03,Line C,Evening,TS-01,FW-SIM-0.2,1.8,4.95,88.9,Pass,None,No
WHRM-00209,2026-07-03,Line A,Day,TS-03,FW-SIM-0.2,4.2,3.97,87.1,Pass,None,No
WHRM-00210,2026-07-03,Line C,Day,TS-02,FW-SIM-0.2,2.98,3.42,91.1,Pass,None,No
WHRM-00211,2026-07-03,Line C,Evening,TS-01,FW-SIM-0.2,2.86,5.27,83.6,Fail,Slow response time,Yes
WHRM-00212,2026-07-03,Line A,Day,TS-03,FW-SIM-0.2,2.7,3.82,92.3,Pass,None,No
WHRM-00213,2026-07-03,Line C,Evening,TS-01,FW-SIM-0.2,1.71,4.78,95.9,Pass,None,No
WHRM-00214,2026-07-03,Line C,Day,TS-01,FW-SIM-0.2,3.88,3.95,86.1,Pass,None,No
WHRM-00215,2026-07-03,Line A,Evening,TS-02,FW-SIM-0.2,2.56,4.64,93.5,Pass,None,No
WHRM-00216,2026-07-03,Line A,Day,TS-03,FW-SIM-0.2,1.89,4.69,93.4,Pass,None,No
WHRM-00217,2026-07-03,Line C,Evening,TS-02,FW-SIM-0.2,3.41,3.91,84.7,Pass,None,No
WHRM-00218,2026-07-03,Line B,Day,TS-02,FW-SIM-0.2,2.61,3.68,99.5,Fail,Assembly defect,Yes
WHRM-00219,2026-07-03,Line B,Evening,TS-02,FW-SIM-0.2,3.99,3.46,87.5,Pass,None,No
WHRM-00220,2026-07-03,Line B,Evening,TS-01,FW-SIM-0.2,0.55,4.99,93.8,Pass,None,No
WHRM-00221,2026-07-03,Line A,Day,TS-03,FW-SIM-0.2,3.32,3.36,88.1,Pass,None,No
WHRM-00222,2026-07-03,Line C,Day,TS-03,FW-SIM-0.2,2.55,4.05,89.7,Pass,None,No
WHRM-00223,2026-07-03,Line A,Day,TS-03,FW-SIM-0.2,3.83,5.3,95.8,Fail,Slow response time,Yes
WHRM-00224,2026-07-03,Line A,Day,TS-01,FW-SIM-0.2,2.12,3.86,87.1,Pass,None,No
WHRM-00225,2026-07-03,Line B,Day,TS-01,FW-SIM-0.2,2.67,4.17,78.6,Fail,Low signal quality,No
WHRM-00226,2026-07-03,Line B,Day,TS-01,FW-SIM-0.2,2.44,3.07,95.3,Pass,None,No
WHRM-00227,2026-07-03,Line B,Day,TS-02,FW-SIM-0.2,1.16,5.38,91.7,Fail,Slow response time,No
WHRM-00228,2026-07-03,Line A,Day,TS-01,FW-SIM-0.2,1.32,4.02,91.7,Pass,None,No
WHRM-00229,2026-07-03,Line B,Day,TS-02,FW-SIM-0.2,1.52,4.0,85.5,Pass,None,No
WHRM-00230,2026-07-03,Line A,Day,TS-01,FW-SIM-0.2,3.74,5.07,90.8,Fail,Slow response time,Yes
WHRM-00231,2026-07-03,Line C,Day,TS-02,FW-SIM-0.2,2.74,4.34,91.1,Pass,None,No
